link,name,description,price,rating,features
https://www.airbnb.com.au/s/Bright--Victoria/homes?checkin=2022-05-01&checkout=2022-05-05/rooms/30049984?check_in=2022-05-01&check_out=2022-05-05&previous_page_section_name=1000&federated_search_id=a74c01c2-b525-4bae-982b-275bb3796b0e,"b'Mountain Mist - Detached, 600m to Central Bright!'",Entire guest suite in Bright,$474 AUD,Rating 4.97 out of 5; 190 reviews,2 guests·1 bedroom·1 bed·1 bathWi-Fi·Kitchen·Air conditioning·Free parking
https://www.airbnb.com.au/s/Bright--Victoria/homes?checkin=2022-05-01&checkout=2022-05-05/rooms/29318635?check_in=2022-05-01&check_out=2022-05-05&previous_page_section_name=1000&federated_search_id=a74c01c2-b525-4bae-982b-275bb3796b0e,b'Scandinavian styled townhouse with stunning views',Entire rental unit in Mount Beauty,$832 AUD,Rating 4.94 out of 5; 233 reviews,4 guests·2 bedrooms·4 beds·1 bathWi-Fi·Kitchen·Air conditioning·Free parking
https://www.airbnb.com.au/s/Bright--Victoria/homes?checkin=2022-05-01&checkout=2022-05-05/rooms/52831859?check_in=2022-05-01&check_out=2022-05-05&previous_page_section_name=1000&federated_search_id=a74c01c2-b525-4bae-982b-275bb3796b0e,b'Bright By The River - central & newly renovated',Entire residential home in Bright,"$1,641 AUD",Rating 5.0 out of 5; 20 reviews,9 guests·3 bedrooms·5 beds·2 bathsWi-Fi·Kitchen·Air conditioning·Free parking
https://www.airbnb.com.au/s/Bright--Victoria/homes?checkin=2022-05-01&checkout=2022-05-05/rooms/27732506?check_in=2022-05-01&check_out=2022-05-05&previous_page_section_name=1000&federated_search_id=a74c01c2-b525-4bae-982b-275bb3796b0e,"b""Christina's Luxury Retreat""",Entire residential home in Bright,"$2,080 AUD",Rating 4.99 out of 5; 74 reviews,8 guests·4 bedrooms·4 beds·2 bathsWi-Fi·Kitchen·Air conditioning·Free parking
https://www.airbnb.com.au/s/Bright--Victoria/homes?checkin=2022-05-01&checkout=2022-05-05/rooms/44451546?check_in=2022-05-01&check_out=2022-05-05&previous_page_section_name=1000&federated_search_id=a74c01c2-b525-4bae-982b-275bb3796b0e,b'Family Friendly Cottages and Apartments',Entire guesthouse in Bright,"$1,011 AUD",Rating 4.87 out of 5; 84 reviews,4 guests·2 bedrooms·3 beds·1 bathWi-Fi·Kitchen·Air conditioning·Free parking
https://www.airbnb.com.au/s/Bright--Victoria/homes?checkin=2022-05-01&checkout=2022-05-05/rooms/48337655?check_in=2022-05-01&check_out=2022-05-05&previous_page_section_name=1000&federated_search_id=a74c01c2-b525-4bae-982b-275bb3796b0e,b'Pebblebank on Morses - Luxury Mountain Retreat',Entire residential home in Wandiligong,"$2,172 AUD",Rating 4.95 out of 5; 39 reviews,4 guests·2 bedrooms·2 beds·1 bathWi-Fi·Kitchen·Air conditioning·Free parking
https://www.airbnb.com.au/s/Bright--Victoria/homes?checkin=2022-05-01&checkout=2022-05-05/rooms/32596739?check_in=2022-05-01&check_out=2022-05-05&previous_page_section_name=1000&federated_search_id=a74c01c2-b525-4bae-982b-275bb3796b0e,b'Central CBD Apartment for 2 with mountain views',Entire rental unit in Bright,"$1,075 AUD",Rating 4.91 out of 5; 135 reviews,2 guests·1 bedroom·1 bed·1 bathKitchen·Air conditioning
https://www.airbnb.com.au/s/Bright--Victoria/homes?checkin=2022-05-01&checkout=2022-05-05/rooms/6135137?check_in=2022-05-01&check_out=2022-05-05&previous_page_section_name=1000&federated_search_id=a74c01c2-b525-4bae-982b-275bb3796b0e,b'Studio @ Quins Gap Retreat',Entire residential home in Bright,"$1,479",Rating 4.88 out of 5; 67 reviews,6 guests·1 bedroom·4 beds·1 bathKitchen·Air conditioning·Free parking
https://www.airbnb.com.au/s/Bright--Victoria/homes?checkin=2022-05-01&checkout=2022-05-05/rooms/48029668?check_in=2022-05-01&check_out=2022-05-05&previous_page_section_name=1000&federated_search_id=a74c01c2-b525-4bae-982b-275bb3796b0e,"b'""Modern , comfortable loft with great views""'",Entire guesthouse in Tawonga South,$660 AUD,Rating 4.97 out of 5; 38 reviews,2 guests·Studio·2 beds·1 bathWi-Fi·Kitchen·Air conditioning·Free parking
https://www.airbnb.com.au/s/Bright--Victoria/homes?checkin=2022-05-01&checkout=2022-05-05/rooms/44110594?check_in=2022-05-01&check_out=2022-05-05&previous_page_section_name=1000&federated_search_id=a74c01c2-b525-4bae-982b-275bb3796b0e,b'Mystic View Cottage',Entire cottage in Wandiligong,"$1,271 AUD",Rating 4.98 out of 5; 42 reviews,7 guests·3 bedrooms·5 beds·1.5 bathsWi-Fi·Kitchen·Air conditioning·Free parking
